sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
3201,2.69663921187098,0,0.18948766892612,0.8,0.197396848606223,1,8,2.17868582768679,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.565796122231127,0,1.19683175222102,0,0,0,-0.48248173359697,0,0,2.40813328234817,0,0,0.882385059198316,-1930.02742622178,-1557.71211100914,-372.315315212641
3301,2.65940337510527,0,0.317984317388598,0.8,0.157296350913327,1,8,2.05101336487941,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.275363792015519,0,0.981420662384084,0,0,0,-0.479090280301341,0,0,1.96396211405244,0,0,0.57332561213135,-1947.43195685349,-1553.26497813236,-394.166978721127
3401,2.77855589945178,0,0.531639993092934,0.8,0.136352279428237,1,8,2.2227056677469,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.194097295396032,0,0.730921299331186,0,0,0,-0.415345034637023,0,0,2.2514587183341,0,0,0.609107421483724,-1990.11432605753,-1548.76222484141,-441.352101216118
3501,2.69157247619034,0,0.525797996467328,0.8,0.142643378000392,1,8,2.24837517654354,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0515879837182487,0,0.794386242491072,0,0,0,-0.321633825196122,0,0,2.17811024820334,0,0,0.6349054982431,-1960.89665747358,-1551.67894772415,-409.217709749429
3601,3.0277836634777,0,0.800649819089749,0.8,0.15583389257049,1,8,2.16050445932103,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.434139440092401,0,0.873965256536534,0,0,0,-0.184141233887341,0,0,2.44611920861718,0,0,0.707200657813781,-2015.45522621821,-1554.85494023053,-460.600285987676
3701,3.16083291380422,0,0.742959902560176,0.8,0.175148043218163,1,8,2.14985879726474,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.176270110814396,0,0.964527521622921,0,0,0,-0.0829268183706189,0,0,2.81679182958695,0,0,0.741652751044708,-1981.41546327556,-1553.48514459621,-427.930318679348
3801,3.09225826618937,0,0.960553827517931,0.8,0.144123162915702,1,8,2.08891401275157,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0322561654828668,0,1.08630734175543,0,0,0,-0.111111650689917,0,0,2.74752205906993,0,0,1.12869210387349,-1892.40982651088,-1530.93607036058,-361.473756150305
3901,2.74655207753872,0,0.688873597611591,0.8,0.145500346624961,1,8,2.12103416441966,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.137495424642208,0,1.27263471195481,0,0,0,-0.213284329100639,0,0,2.50722236636053,0,0,0.86871468483895,-1935.04440440631,-1558.29817452998,-376.746229876325
4001,2.4006844619873,0,0.33553230815651,0.8,0.149895066179027,1,8,2.157633358299,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0898806666895808,0,0.855434801105128,0,0,0,-0.52303666207989,0,0,2.32032254133372,0,0,0.978267966633466,-1969.2395487005,-1566.86276616432,-402.376782536181
4101,2.67155819262666,0,0.343605649876797,0.8,0.147282119859315,1,8,2.13358786001682,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0425404281655197,0,0.861517393666282,0,0,0,-0.540830439188914,0,0,2.23126126497621,0,0,0.681554465617131,-1948.92442495391,-1549.28069508652,-399.64372986739
4201,2.7986136249848,0,0.394534701975126,0.8,0.158344247235282,1,8,2.15856011627459,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0417938375713458,0,1.03818348978165,0,0,0,-0.50819916934978,0,0,2.05430613834911,0,0,0.6091579746904,-1932.56598023292,-1561.68337972181,-370.882600511119
4301,2.62060881894378,0,0.376815294532401,0.8,0.17742524090662,1,8,2.15880877371331,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.00571450327755851,0,1.32585891167224,0,0,0,-0.891298771804843,0,0,1.96992187840801,0,0,0.693728010874324,-1939.69432240784,-1556.80070589643,-382.893616511412
4401,3.00583113740874,0,0.500709611442518,0.8,0.171641008134639,1,8,2.16641974692793,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.245429190165765,0,0.984730833331947,0,0,0,-0.8071979528373,0,0,1.98003314784426,0,0,0.797906893403258,-1980.54099527344,-1577.69589438464,-402.845100888797
4501,2.89390664861207,0,0.484543986049478,0.8,0.166003375917325,1,8,2.12483941653272,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.201268096899753,0,0.984730833331947,0,0,0,-0.534942034642898,0,0,2.29146967847363,0,0,0.791121316638046,-1943.34505752226,-1560.51773546424,-382.827322058017
4601,2.99430721039697,0,0.504227462479896,0.8,0.167015240631757,1,8,2.1165803435622,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0690486780585546,0,0.894427018052081,0,0,0,-0.576730879639186,0,0,2.24210817867739,0,0,0.636351987215593,-1938.20631000339,-1564.92724297067,-373.279067032721
4701,3.03522667669735,0,0.750518339475895,0.8,0.139785948115252,1,8,2.08622321603802,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.256961483932627,0,0.927826624150096,0,0,0,-0.351981983821043,0,0,2.43212098875772,0,0,0.773941822704807,-1948.96655841784,-1547.1010287154,-401.865529702442
4801,3.12161548658995,0,0.995669102749216,0.8,0.137673185217914,1,8,2.06328951114858,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.161889990730284,0,0.853659226475086,0,0,0,-0.26651444909739,0,0,2.62199811669669,0,0,0.710687991903853,-1960.18646700534,-1554.29924921213,-405.887217793212
4901,3.39222245700215,0,0.992787010511648,0.8,0.137249893025681,1,8,2.09629071590845,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0572535076214935,0,0.657831005621467,0,0,0,-0.362276343500544,0,0,2.30982905927745,0,0,0.857000502406871,-1971.36340745838,-1555.27161062823,-416.091796830148
5001,3.29500071932314,0,0.723506960749685,0.8,0.180664973308746,1,8,2.19227454725513,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.332210445440118,0,1.11432655017474,0,0,0,-0.543121823065039,0,0,2.05751209172402,0,0,0.86556598953111,-2013.5672264293,-1567.7207015115,-445.8465249178
5101,3.09422439455965,0,0.759220299104052,0.8,0.189883340723173,1,8,2.04472093226945,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0676813606843174,0,0.966950689846994,0,0,0,-0.258971678022537,0,0,2.02936871844657,0,0,1.01807801855726,-1981.06583798455,-1573.29711329955,-407.768724685003
5201,3.20672447163664,0,0.784155622372508,0.8,0.191539829817826,1,8,2.08824451738689,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.118376894101972,0,1.35644774483173,0,0,0,-0.311189649284301,0,0,1.79530359061608,0,0,1.00831268022793,-1990.72397056414,-1569.0604602731,-421.663510291043
5301,3.12477132752977,0,0.678800120867648,0.8,0.204505744995384,1,8,2.07412351893731,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.405350907614156,0,1.56602914200576,0,0,0,-0.286014079028549,0,0,2.22099393987811,0,0,1.03771962357141,-1888.56854336391,-1563.02279798907,-325.545745374835
5401,3.31621215917476,0,0.629149971030848,0.8,0.20754191268505,1,8,2.24045604719244,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.161286663320802,0,1.23347508240932,0,0,0,-0.195127995662603,0,0,2.33405357831265,0,0,1.32357651419517,-1887.70182288959,-1559.39360032593,-328.308222563661
5501,3.12290506781009,0,0.74415557441544,0.8,0.180282646547888,1,8,2.1451983338145,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.00880183279099578,0,1.24031638045247,0,0,0,-0.335893305389825,0,0,2.8279055369937,0,0,0.94509180898576,-1881.42411371042,-1547.31333733403,-334.110776376384
5601,3.18852278290986,0,0.874599923193871,0.8,0.201268783806713,1,8,2.09009133255163,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.227730728600713,0,1.28483500831886,0,0,0,-0.113599174223684,0,0,2.41574898621356,0,0,1.25086811080601,-1901.5880759466,-1545.57690710027,-356.011168846335
5701,3.39286800390923,0,0.921541960586904,0.8,0.187155249103115,1,8,2.1998235920461,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.428388949494678,0,1.56209819872914,0,0,0,-0.360152428517823,0,0,2.43634149582463,0,0,1.02201299128346,-1881.65230531697,-1557.5884274499,-324.063877867069
5801,3.21754546392894,0,0.768077498338417,0.8,0.172746731184008,1,8,2.10873381045406,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.352923758021611,0,1.47985571101586,0,0,0,-0.249628277958628,0,0,2.98085313271448,0,0,0.989050497976278,-1899.82634497247,-1548.55450885398,-351.271836118486
5901,3.15585804075958,0,0.891515055265158,0.8,0.152529374007449,1,8,2.10873381045406,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0100714403602917,0,1.23224542026514,0,0,0,-0.53726554073793,0,0,2.72678793445452,0,0,1.11795394435589,-1825.90059015452,-1559.15635173472,-266.744238419795
6001,3.11304998733119,0,0.982205819981169,0.8,0.125186038718834,1,8,2.2062657147878,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0100714403602917,0,1.05266537455465,0,0,0,-0.390554454452282,0,0,2.67509274000814,0,0,0.9989739839696,-1820.01203799223,-1551.83899452758,-268.173043464652
6101,3.00445135787379,0,0.862627753310008,0.8,0.150992668707001,1,8,2.0905481533372,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.171982743809913,0,1.42032087690063,0,0,0,-0.239821479491641,0,0,2.79405300416482,0,0,1.51308210623786,-1874.08895196619,-1552.78723742416,-321.301714542031
6201,3.26432704425027,0,0.960463617586185,0.8,0.1525984143174,1,8,2.06841883960062,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0462869175742449,0,1.26501404898179,0,0,0,-0.424682449585834,0,0,2.15886758561955,0,0,1.26835941796616,-1862.62259580605,-1548.29150573851,-314.331090067542
6301,3.15046323574977,0,0.999268849662755,0.8,0.112685812528113,1,8,2.07979808483447,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.354775743379898,0,1.16447883202241,0,0,0,-0.443132419896216,0,0,2.5420611187989,0,0,1.20702759021155,-1907.97681584855,-1541.39423559959,-366.582580248955
6401,3.32715513878579,0,0.908878013295466,0.8,0.162762727330309,1,8,1.93772382093376,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.296756649299437,0,1.09030014056452,0,0,0,-0.124908927981909,0,0,2.52952223870876,0,0,1.23544466856442,-1924.89400774658,-1535.30136849918,-389.592639247398
6501,3.70366975300762,0,0.793855355166166,0.8,0.19622737551866,1,8,2.05681100627788,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.296756649299437,0,0.98771683917869,0,0,0,-0.325384213820023,0,0,2.50738665928816,0,0,1.23544466856442,-1851.81501048345,-1542.60556260822,-309.209447875231
6601,3.74123316067652,0,0.823456199087919,0.8,0.182482202694871,1,8,2.04502929696079,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.148774521666684,0,1.05493620266877,0,0,0,-0.360381831827574,0,0,2.73304401324808,0,0,1.20648720181354,-1828.6372457235,-1540.62627456608,-288.01097115742
6701,3.51954442567827,0,0.971547515926386,0.8,0.198356382615717,1,8,2.02105388394321,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.250333774097472,0,1.60687755117895,0,0,0,-0.551292242521045,0,0,2.53967008400858,0,0,1.41026145382022,-1839.87208947544,-1550.2867182013,-289.585371274145
6801,3.4614385151849,0,0.762448505518068,0.8,0.21186995391086,1,8,2.03958084129673,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.025536322130943,0,1.46921729002469,0,0,0,-0.396141864001316,0,0,2.41484455273185,0,0,1.48748979306039,-1812.46606724346,-1545.8660067454,-266.600060498061
6901,3.94331307620083,0,0.869770628015862,0.8,0.218729492310404,1,8,2.02771565934924,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.209342360330753,0,1.15270737560562,0,0,0,-0.530132001844687,0,0,2.66383917181314,0,0,1.36439262198329,-1880.41904661816,-1534.45200601884,-345.967040599319
7001,3.49356194461958,0,0.93011592876798,0.8,0.196676152425843,1,8,2.11923962819889,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.3845571048184,0,1.15270737560562,0,0,0,0.0137821966266523,0,0,2.67292307731681,0,0,1.12401673312516,-1851.0520967218,-1550.39323922239,-300.658857499412
7101,3.7849365264907,0,0.941388678798475,0.8,0.186994739890209,1,8,2.1051385265828,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.169775441376627,0,1.25677200082237,0,0,0,-0.547401400003784,0,0,2.54885477843345,0,0,0.949741851514378,-1945.14901501319,-1542.22789045499,-402.921124558203
7201,3.66647853102803,0,0.988702638183623,0.8,0.16548944799447,1,8,2.07863306697718,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0510599059895558,0,1.20151576131936,0,0,0,-0.470548734753058,0,0,2.56768497812655,0,0,0.997548826952523,-1892.52119306594,-1560.18364218619,-332.337550879759
7301,3.78048832375212,0,0.928665296742724,0.8,0.155564099764656,1,8,2.14811435330628,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.253366704894574,0,0.903678577387071,0,0,0,-0.72702711573648,0,0,2.31024519714746,0,0,1.37881219229584,-1878.62077608668,-1544.76521899979,-333.855557086885
7401,3.81449879309997,0,0.9015202613203,0.8,0.183807329168532,1,8,2.14811435330628,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0796246818188111,0,1.07950506977663,0,0,0,-0.627907353491691,0,0,2.04471683927764,0,0,0.618260562969812,-1891.7887767199,-1532.79402156244,-358.994755157464
7501,3.99156846936765,0,0.952736509299793,0.8,0.171596100690623,1,8,2.05237300964692,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0635888426374427,0,0.911641060099772,0,0,0,-0.982296700939452,0,0,1.81962638218788,0,0,0.930797100260246,-1861.92714186256,-1532.77428309646,-329.152858766097
7601,3.77562628179847,0,0.859435914485299,0.8,0.183485182745722,1,8,2.07101121425321,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.114444493443536,0,1.04224029796253,0,0,0,-0.301187566248284,0,0,2.12111069522628,0,0,0.802557017031372,-1932.56070256289,-1542.61916299224,-389.941539570653
7701,3.43601312510725,0,0.933478183236079,0.8,0.160628821934469,1,8,1.99126663033164,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.337154057184441,0,1.16393053966726,0,0,0,0.0506479408764928,0,0,2.38581407226732,0,0,1.15980522211449,-1921.75315456546,-1532.88497775589,-388.868176809568
7801,3.70834567283087,0,0.796017207872964,0.8,0.185421581039944,1,8,2.04027223523376,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0954623617054065,0,1.2822490375197,0,0,0,-0.246056157101932,0,0,2.189325890953,0,0,0.934100712270792,-1837.34220051247,-1528.07825384391,-309.263946668553
